@relation Espectadores

@attribute genero { Accion, Aventura, Animacion, Comedia,  Drama, Terror, Sci-fi, Thriller, Otros }
@attribute edad { Todos, >7, >12, >16, >18 }
@attribute mesEstreno { Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre }
@attribute duracion numeric
@attribute productora { WaltDisneyCompany, TwentiethCenturyFox, UniversalPicturesInternational, WarnerBrosEntertainment, SonyPicturesReleasing, AurumProducciones, Paramount, HispanoFoxfilm, AContracorrienteFilms, CastelaoPictures, DeaPlaneta, Tripictures, BettaPictures, InopiaFilms, GolemDistribuciones, VertigoFilms, Otra }
@attribute pais { ESP, EEUU }
@attribute basadaEn { Libro, Comic, HechosReales, Original }
@attribute actorRenombre {Si, No}
@attribute recaudacion {MuyPoca, Poca, Media, Bastante, Mucha}

@Data
Comedia, >12, Septiembre, 97, VertigoFilms, EEUU, Original, Si, Poca
Accion, >16, Septiembre, 96, DeaPlaneta, EEUU, Original, No, Media
Drama, >12, Agosto, 101, SonyPicturesReleasing, EEUU, Original, Si, Media
Thriller, >16, Agosto, 93, GolemDistribuciones, EEUU, Original, No, Poca
Drama, >7, Julio, 97, AContracorrienteFilms, EEUU, Original, Si, MuyPoca
Terror, >16, Noviembre, 86, AContracorrienteFilms, EEUU, Original, No, MuyPoca
Accion, >12, Agosto, 94, AurumProducciones, EEUU, Original, No, Poca
Comedia, >16, Agosto, 125, UniversalPicturesInternational, EEUU, Original, No, Media
Comedia, Todos, Agosto, 97, Otra, ESP, Original, No, Poca
Comedia, >12, Agosto, 95, Otra, EEUU, Original, Si, MuyPoca
Drama, >7, Agosto, 109, HispanoFoxfilm, EEUU, Libro, No, Media
Comedia, >7, Agosto, 107, GolemDistribuciones, EEUU, Original, No, Media
Otros, >7, Julio, 113, AurumProducciones, EEUU, Original, No, Media
Comedia, >7, Julio, 93, InopiaFilms, EEUU, Original, Si, Poca
Comedia, >16, Julio, 104, WarnerBrosEntertainment, EEUU, Original, No, MuyPoca
Comedia, >16, Julio, 116, AurumProducciones, ESP, Original, Si, Media
Comedia, Todos, Julio, 97, BettaPictures, EEUU, Original, No, MuyPoca
Thriller, >7, Julio, 86, Otra, ESP, Original, No, MuyPoca
Drama, >12, Julio, 121, SonyPicturesReleasing, EEUU, HechosReales, No, MuyPoca
Otros, >16, Julio, 115, WarnerBrosEntertainment, EEUU, Original, Si, Media
Comedia, >12, Junio, 105, AContracorrienteFilms, EEUU, Original, No, Media
Thriller, >16, Junio, 94, CastelaoPictures, ESP, Original, Si, MuyPoca
Comedia, >16, Junio, 120, HispanoFoxfilm, EEUU, Original, Si, Media
Thriller, >16, Junio, 137, AurumProducciones, EEUU, Libro, Si, Media
Comedia, >16, Junio, 100, WarnerBrosEntertainment, EEUU, Original, No, MuyPoca
Drama, >12, Junio, 78, Otra, ESP, Original, No, MuyPoca
Terror, >18, Junio, 120, UniversalPicturesInternational, EEUU, Libro, Si, MuyPoca
Comedia, >12, Junio, 91, HispanoFoxfilm, EEUU, Original, Si, MuyPoca
Comedia, >7, Mayo, 81, AContracorrienteFilms, ESP, Original, No, Poca
Thriller, >16, Mayo, 112, Otra, ESP, Original, No, MuyPoca
Terror, >16, Enero, 85, AContracorrienteFilms, EEUU, Original, No, MuyPoca
Terror, >16, Marzo, 104, AContracorrienteFilms, EEUU, Original, No, MuyPoca
Drama, >16, Febrero, 116, AContracorrienteFilms, EEUU, Libro, Si, MuyPoca
Thriller, >12, Mayo, 111, DeaPlaneta, ESP, Original, Si, Poca
Comedia, >12, Mayo, 98, AurumProducciones, EEUU, Original, Si, MuyPoca
Comedia, >7, Mayo, 114, UniversalPicturesInternational, EEUU, Original, No, Media
Drama, >7, Mayo, 110, InopiaFilms, EEUU, HechosReales, No, MuyPoca
Accion, >16, Mayo, 120, WarnerBrosEntertainment, EEUU, Original, Si, Bastante
Drama, >12, Mayo, 93, WarnerBrosEntertainment, ESP, Original, No, Poca
Otros, >7, Mayo, 128, HispanoFoxfilm, EEUU, Libro, Si, Media
Drama, >12, Abril, 99, GolemDistribuciones, EEUU, Original, No, MuyPoca
Thriller, >18, Abril, 120, Otra, ESP, Original, No, MuyPoca
Otros, >12, Abril, 118, Tripictures, EEUU, Libro, No, Poca
Animacion, >16, Abril, 79, Otra, ESP, Original, No, MuyPoca
Drama, >16, Abril, 102, Otra, ESP, Original, No, Poca
Terror, >16, Abril, 88, HispanoFoxfilm, EEUU, Original, No, Poca
Drama, >12, Abril, 107, Otra, EEUU, Original, Si, MuyPoca
Comedia, >18, Abril, 98, Otra, ESP, Original, No, MuyPoca
Otros, >7, Abril, 92, CastelaoPictures, ESP, Original, No, MuyPoca
Comedia, Todos, Abril, 94, SonyPicturesReleasing, EEUU, Original, No, Media
Drama, >18, Abril, 95, BettaPictures, EEUU, Original, No, MuyPoca
Otros, >18, Abril, 115, WarnerBrosEntertainment, EEUU, Original, Si, Media
Drama, >12, Abril, 98, SonyPicturesReleasing, ESP, Original, No, Media
Drama, >7, Abril, 109, DeaPlaneta, EEUU, HechosReales, Si, Media
Comedia, >12, Abril, 107, AurumProducciones, EEUU, Libro, Si, Media
Thriller, >16, Abril, 99, AContracorrienteFilms, EEUU, Original, No, MuyPoca
Accion, >16, Marzo, 125, VertigoFilms, EEUU, Original, No, Poca
Comedia, >12, Octubre, 83, AContracorrienteFilms, EEUU, Original, Si, MuyPoca
Comedia, >7, Marzo, 100, Otra, EEUU, Original, No, MuyPoca
Accion, >18, Marzo, 108, Tripictures, EEUU, Libro, Si, Poca
Drama, >12, Marzo, 79, Otra, ESP, Libro, No, Poca
Comedia, >16, Marzo, 149, WarnerBrosEntertainment, EEUU, Libro, Si, Poca
Drama, >12, Febrero, 128, Otra, EEUU, HechosReales, No, Poca
Drama, >16, Marzo, 101, HispanoFoxfilm, EEUU, Original, No, Poca
Accion, >16, Febrero, 129, HispanoFoxfilm, EEUU, Comic, Si, Bastante
Animacion, >7, Febrero, 96, HispanoFoxfilm, EEUU, Original, No, Media
Sci-fi, >12, Febrero, 97, AurumProducciones, EEUU, Original, No, MuyPoca
Otros, Todos, Febrero, 84, Otra, EEUU, HechosReales, No, MuyPoca
Drama, >12, Febrero, 135, VertigoFilms, EEUU, HechosReales, Si, Poca
Comedia, >16, Febrero, 102, SonyPicturesReleasing, EEUU, Original, Si, Media
Drama, >16, Febrero, 102, SonyPicturesReleasing, EEUU, HechosReales, No, MuyPoca
Drama, >16, Enero, 116, HispanoFoxfilm, EEUU, Libro, No, Poca
Otros, Todos, Enero, 118, SonyPicturesReleasing, EEUU, Original, Si, Bastante
Accion, >16, Enero, 133, UniversalPicturesInternational, EEUU, Original, Si, Media
Otros, Todos, Enero, 88, Otra, ESP, HechosReales, No, MuyPoca
Comedia, >12, Noviembre, 103,  AurumProducciones, ESP, Original, No, Media
Thriller, >12, Enero, 113, CastelaoPictures, EEUU, Original, No, Poca
Sci-fi, >7, Enero, 106, Paramount, EEUU, Original, No, Poca
Thriller, >18, Enero, 105, Otra, EEUU, Original, No, MuyPoca
 Drama, >12, Enero, 107, SonyPicturesReleasing, EEUU, Original, No, Poca
 Comedia, >16, Enero, 120, HispanoFoxfilm, EEUU, Original, Si, Bastante
 Comedia, >12, Enero, 108, WarnerBrosEntertainment, EEUU, Original, Si, Poca
 Drama, >16, Enero, 111, Paramount, EEUU, Original, Si, Poca
