@relation cine

@attribute genero { Accion, Aventura, Animacion, Comedia,  Drama, Terror, Musical, Sci-fi, Thriller, Otros }
@attribute edad { Todos, +7, +12, +16, +18 }
@attribute mesEstreno { Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre }
@attribute duracion numeric
@attribute productora { WaltDisneyCompany, TwentiethCenturyFox, UniversalPicturesInternational, WarnerBrosEntertainment, SonyPicturesReleasing, AurumProducciones, Paramount, HispanoFoxfilm, AContracorrienteFilms, Otra }
@attribute pais { España, EstadosUnidos }
@attribute basadaEn { Libro, Comic, HechosReales, Original }

@data
Comedia, +12, Agosto, 99, WarnerBrosEntertainment, EstadosUnidos, Original
Aventura, +7, Octubre, 111, WarnerBrosEntertainment, EstadosUnidos, Libro
Sci-fi, +12, Febrero, 128, WarnerBrosEntertainment, EstadosUnidos, Original
Accion, +12, Agosto, 116, WarnerBrosEntertainment, EstadosUnidos, Original
Drama, +12, Octubre, 103, Otra, España, Original
Aventura, Todos, Marzo, 105, WaltDisneyCompany, EstadosUnidos, Libro
Aventura, +7, Mayo, 129, WaltDisneyCompany, EstadosUnidos, Original
Aventura, +12, Septiembre, 121, UniversalPicturesInternational, EstadosUnidos, HechosReales
Thriller, +12, Julio, 100, HispanoFoxfilm, EstadosUnidos, HechosReales
Terror, +18, Noviembre, 97, AurumProducciones, EstadosUnidos, Original
Terror, +16, Octubre, 106, AurumProducciones, EstadosUnidos, Original
Terror, +18, Septiembre, 82, Otra, España, Original
Terror, +16, Mayo, 100, Otra, EstadosUnidos, Original
Terror, +16, Diciembre, 82, Otra, España, Original
Accion, +12, Agosto, 131, Paramount, EstadosUnidos, Original
Accion, +16, Octubre, 97, HispanoFoxfilm, EstadosUnidos, Original
Animacion, Todos, Junio, 76, WaltDisneyCompany, EstadosUnidos, Original
Animacion, Todos, Octubre, 89, SonyPicturesReleasing, EstadosUnidos, Original
Animacion, Todos, Febrero, 108, WaltDisneyCompany, EstadosUnidos, Original
Animacion, Todos, Enero, 93, HispanoFoxfilm, EstadosUnidos, Original
Thriller, +12, Diciembre, 150, HispanoFoxfilm, EstadosUnidos, HechosReales
Thriller, +12, Septiembre, 98, WarnerBrosEntertainment, España, Original
Thriller, +16, Septiembre, 94, UniversalPicturesInternational, EstadosUnidos, Original
Accion, +12, Noviembre, 147, SonyPicturesReleasing, EstadosUnidos, Original
Thriller, +16, Octubre, 103, AurumProducciones, EstadosUnidos, Original
Drama, +12, Diciembre, 113, AContracorrienteFilms, EstadosUnidos, Libro
Comedia, +12, Diciembre, 107, Otra, EstadosUnidos, Original
Drama, Todos, Diciembre, 121, Otra, EstadosUnidos, Original
Comedia, +16, Diciembre, 103, SonyPicturesReleasing, EstadosUnidos, Original
Aventura, Todos, Diciembre, 104, Otra, EstadosUnidos, Original
Terror, +12, Diciembre, 98, UniversalPicturesInternational, EstadosUnidos, Original
Comedia, +16, Diciembre, 101, SonyPicturesReleasing, EstadosUnidos, Original
Drama, Todos, Diciembre, 90, AContracorrienteFilms, España, Original
Comedia, +16, Noviembre, 74, Otra, España, Original
Drama, +12, Noviembre, 113, Otra, España, Original
Drama, +12, Noviembre, 79, SonyPicturesReleasing, EstadosUnidos, Original
Comedia, +12, Noviembre, 85, HispanoFoxfilm, EstadosUnidos, Original
Drama, +16, Noviembre, 122, Otra, EstadosUnidos, Libro
Thriller, +16, Noviembre, 108, WarnerBrosEntertainment, España, HechosReales
Accion, +16, Noviembre, 121, AurumProducciones, EstadosUnidos, Original
Comedia, +12, Noviembre, 99, Otra, España, Original
Animacion, Todos, Noviembre, 78, Otra, España, Original
Drama, +7, Octubre, 98, AContracorrienteFilms, España, Original
Otros, +7, Noviembre, 97, Otra, España, Original
Comedia, Todos, Octubre, 121, WarnerBrosEntertainment, EstadosUnidos, Original
Thriller, +18, Octubre, 73, Otra, España, Original
Drama, Todos, Octubre, 121, Otra, EstadosUnidos, Original
Comedia, +7, Octubre, 101, Otra, España, Original
Comedia, +7, Octubre, 106, Otra, EstadosUnidos, Original
Otros, Todos, Octubre, 94, Otra, España, Original
Terror, +16, Octubre, 88, Paramount, EstadosUnidos, Original
Drama, +12, Octubre, 98, Otra, España, Original
Drama, +18, Octubre, 124, Otra, España, Original
Otros, +16, Octubre, 119, UniversalPicturesInternational, EstadosUnidos, Original
Comedia, +12, Octubre, 125, Otra, España, Original
Drama, +7, Octubre, 103, AContracorrienteFilms, EstadosUnidos, Original
Thriller, +12, Octubre, 93, Otra, España, Original
Comedia, +12, Octubre, 106, HispanoFoxfilm, EstadosUnidos, Original
Comedia, +12, Octubre, 77, Otra, España, Original
Comedia, +12, Septiembre, 95, AurumProducciones, EstadosUnidos, Original
Otros, Todos, Septiembre, 105, Otra, España, Libro
Accion, +16, Septiembre, 96, Otra, EstadosUnidos, Original
Otros, Todos, Septiembre, 67, Otra, España, Original
Drama, +12, Septiembre, 111, Otra, España, Original
Comedia, Todos, Agosto, 92, AContracorrienteFilms, EstadosUnidos, Libro
Comedia, +12, Septiembre, 97, Otra, EstadosUnidos, Original
Accion, +16, Septiembre, 96, Otra, EstadosUnidos, Original
Drama, +12, Agosto, 101, SonyPicturesReleasing, EstadosUnidos, Original
Thriller, +16, Agosto, 93, Otra, EstadosUnidos, Original
Drama, +7, Julio, 97,AContracorrienteFilms, EstadosUnidos, Original
Terror, +16, Noviembre, 86, AContracorrienteFilms, EstadosUnidos, Original
Accion, +12, Agosto, 94, AurumProducciones, EstadosUnidos, Original
Comedia, +16, Agosto, 125, UniversalPicturesInternational, EstadosUnidos, Original
Comedia, Todos, Agosto, 97, Otra, España, Original
Comedia, +12, Agosto, 95, Otra, EstadosUnidos, Original
Drama, +7, Agosto, 109, HispanoFoxfilm, EstadosUnidos, Libro
Comedia, +7, Agosto, 107, Otra, EstadosUnidos, Original
Otros, +7, Julio, 113, AurumProducciones, EstadosUnidos, Original
Comedia, +7, Julio, 93, Otra, EstadosUnidos, Original
Comedia, +16, Julio, 104, WarnerBrosEntertainment, EstadosUnidos, Original
Comedia, +16, Julio, 116, AurumProducciones, España, Original
Comedia, Todos, Julio, 97, Otra, EstadosUnidos, Original
Thriller, +7, Julio, 86, Otra, España, Original
Drama, +12, Julio, 121, SonyPicturesReleasing, EstadosUnidos, HechosReales
Otros, +16, Julio, 115, WarnerBrosEntertainment, EstadosUnidos, Original
Comedia, +12, Junio, 105, AContracorrienteFilms, EstadosUnidos, Original
Thriller, +16, Junio, 94, Otra, España, Original
Comedia, +16, Junio, 120, HispanoFoxfilm, EstadosUnidos, Original
Thriller, +16, Junio, 137, AurumProducciones, EstadosUnidos, Libro
Comedia, +16, Junio, 100, WarnerBrosEntertainment, EstadosUnidos, Original
Drama, +12, Junio, 78, Otra, España, Original
Terror, +18, Junio, 120, UniversalPicturesInternational, EstadosUnidos, Libro
Comedia, +12, Junio, 91, HispanoFoxfilm, EstadosUnidos, Original
Comedia, +7, Mayo, 81, AContracorrienteFilms, España, Original
Thriller, +16, Mayo, 112, Otra, España, Original
Terror, +16, Enero, 85, AContracorrienteFilms, EstadosUnidos, Original
Terror, +16, Marzo, 104, AContracorrienteFilms, EstadosUnidos, Original
Drama, +16, Febrero, 116, AContracorrienteFilms, EstadosUnidos, Libro
