@relation Espectadores

@attribute genero { Accion, Aventura, Animacion, Comedia,  Drama, Terror, Musical, Sci-fi, Thriller, Otros }
@attribute edad { Todos, >7, >12, >16, >18 }
@attribute mesEstreno { Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre }
@attribute duracion numeric
@attribute productora { WaltDisneyCompany, TwentiethCenturyFox, UniversalPicturesInternational, WarnerBrosEntertainment, SonyPicturesReleasing, AurumProducciones, Paramount, HispanoFoxfilm, AContracorrienteFilms, CastelaoPictures, DeaPlaneta, Tripictures, Otra }
@attribute pais { ESP, EEUU }
@attribute basadaEn { Libro, Comic, HechosReales, Original }
@attribute espectadores { MuyPocos, Pocos, Medio, Bastantes, Muchos }

@Data
Accion, >16, Septiembre, 96, Tripictures, EEUU, Original, Pocos
Otros, Todos, Septiembre, 67, Otra, ESP, Original, MuyPocos
Drama, >12, Septiembre, 111, AurumProducciones, ESP, Original, Medio
Comedia, Todos, Agosto, 92, AContracorrienteFilms, EEUU, Libro, Pocos
Comedia, >12, Septiembre, 97, Otra, EEUU, Original, Pocos
Accion, >16, Septiembre, 96, DeaPlaneta, EEUU, Original, Medio
Drama, >12, Agosto, 101, SonyPicturesReleasing, EEUU, Original, Medio
Thriller, >16, Agosto, 93, Otra, EEUU, Original, Pocos
Drama, >7, Julio, 97, AContracorrienteFilms, EEUU, Original, MuyPocos
Terror, >16, Noviembre, 86, AContracorrienteFilms, EEUU, Original, MuyPocos
Accion, >12, Agosto, 94, AurumProducciones, EEUU, Original, Pocos
Comedia, >16, Agosto, 125, UniversalPicturesInternational, EEUU, Original, Medio
Comedia, Todos, Agosto, 97, Otra, ESP, Original, Pocos
Comedia, >12, Agosto, 95, Otra, EEUU, Original, MuyPocos
Drama, >7, Agosto, 109, HispanoFoxfilm, EEUU, Libro, Medio
Comedia, >7, Agosto, 107, Otra, EEUU, Original, Medio
Otros, >7, Julio, 113, AurumProducciones, EEUU, Original, Medio
Comedia, >7, Julio, 93, Otra, EEUU, Original, Pocos
Comedia, >16, Julio, 104, WarnerBrosEntertainment, EEUU, Original, MuyPocos
Comedia, >16, Julio, 116, AurumProducciones, ESP, Original, Medio
Comedia, Todos, Julio, 97, Otra, EEUU, Original, MuyPocos
Thriller, >7, Julio, 86, Otra, ESP, Original, MuyPocos
Drama, >12, Julio, 121, SonyPicturesReleasing, EEUU, HechosReales, MuyPocos
Otros, >16, Julio, 115, WarnerBrosEntertainment, EEUU, Original, Medio
Comedia, >12, Junio, 105, AContracorrienteFilms, EEUU, Original, Medio
Thriller, >16, Junio, 94, CastelaoPictures, ESP, Original, MuyPocos
Comedia, >16, Junio, 120, HispanoFoxfilm, EEUU, Original, Medio
Thriller, >16, Junio, 137, AurumProducciones, EEUU, Libro, Medio
Comedia, >16, Junio, 100, WarnerBrosEntertainment, EEUU, Original, MuyPocos
Drama, >12, Junio, 78, Otra, ESP, Original, MuyPocos
Terror, >18, Junio, 120, UniversalPicturesInternational, EEUU, Libro, MuyPocos
Comedia, >12, Junio, 91, HispanoFoxfilm, EEUU, Original, MuyPocos
Comedia, >7, Mayo, 81, AContracorrienteFilms, ESP, Original, Pocos
Thriller, >16, Mayo, 112, Otra, ESP, Original, MuyPocos
Terror, >16, Enero, 85, AContracorrienteFilms, EEUU, Original, MuyPocos
Terror, >16, Marzo, 104, AContracorrienteFilms, EEUU, Original, MuyPocos
Drama, >16, Febrero, 116, AContracorrienteFilms, EEUU, Libro, MuyPocos
Thriller, >12, Mayo, 111, DeaPlaneta, ESP, Original, Pocos
Comedia, >12, Mayo, 98, AurumProducciones, EEUU, Original, MuyPocos
Comedia, >7, Mayo, 114, UniversalPicturesInternational, EEUU, Original, Medio
Drama, >7, Mayo, 110, Otra, EEUU, HechosReales, MuyPocos
Accion, >16, Mayo, 120, WarnerBrosEntertainment, EEUU, Original, Bastantes
Drama, >12, Mayo, 93, WarnerBrosEntertainment, ESP, Original, Medio
Otros, >7, Mayo, 128, HispanoFoxfilm, EEUU, Libro, Medio
Drama, >12, Abril, 99, Otra, EEUU, Original, MuyPocos
Thriller, >18, Abril, 120, Otra, ESP, Original, MuyPocos
Otros, >12, Abril, 118, Tripictures, EEUU, Libro, Medio
Animacion, >16, Abril, 79, Otra, ESP, Original, MuyPocos
Drama, >16, Abril, 102, Otra, ESP, Original, Pocos
Terror, >16, Abril, 88, HispanoFoxfilm, EEUU, Original, Pocos
Drama, >12, Abril, 107, Otra, EEUU, Original, MuyPocos
Comedia, >18, Abril, 98, Otra, ESP, Original, MuyPocos
Otros, >7, Abril, 92, CastelaoPictures, ESP, Original, MuyPocos
Comedia, Todos, Abril, 94, SonyPicturesReleasing, EEUU, Original, Medio
Drama, >18, Abril, 95, Otra, EEUU, Original, MuyPocos
Otros, >18, Abril, 115, WarnerBrosEntertainment, EEUU, Original, Medio
Drama, >12, Abril, 98, SonyPicturesReleasing, ESP, Original, Medio
Drama, >7, Abril, 109, DeaPlaneta, EEUU, HechosReales, Medio
Comedia, >12, Abril, 107, AurumProducciones, EEUU, Libro, Pocos
Thriller, >16, Abril, 99, AContracorrienteFilms, EEUU, Original, MuyPocos
Accion, >16, Marzo, 125, Otra, EEUU, Original, Pocos
Comedia, >12, Octubre, 83, AContracorrienteFilms, EEUU, Original, MuyPocos
Comedia, >7, Marzo, 100, Otra, EEUU, Original, MuyPocos
Accion, >18, Marzo, 108, Tripictures, EEUU, Libro, Pocos
Drama, >12, Marzo, 79, Otra, ESP, Libro, Pocos
Comedia, >16, Marzo, 149, WarnerBrosEntertainment, EEUU, Libro, Pocos
Drama, >12, Febrero, 128, Otra, EEUU, HechosReales, Pocos
Drama, >16, Marzo, 101, HispanoFoxfilm, EEUU, Original, Pocos
Accion, >16, Febrero, 129, HispanoFoxfilm, EEUU, Comic, Bastantes
Animacion, >7, Febrero, 96, HispanoFoxfilm, EEUU, Original, Medio
Sci-fi, >12, Febrero, 97, AurumProducciones, EEUU, Original, MuyPocos
Otros, Todos, Febrero, 84, Otra, EEUU, HechosReales, MuyPocos
Drama, >12, Febrero, 135, Otra, EEUU, HechosReales, Pocos
Comedia, >16, Febrero, 102, SonyPicturesReleasing, EEUU, Original, Medio
Drama, >16, Febrero, 102, SonyPicturesReleasing, EEUU, HechosReales, MuyPocos
Drama, >16, Enero, 116, HispanoFoxfilm, EEUU, Libro, Pocos
Otros, Todos, Enero, 118, SonyPicturesReleasing, EEUU, Original, Bastantes
Accion, >16, Enero, 133, UniversalPicturesInternational, EEUU, Original, Pocos
Otros, Todos, Enero, 88, Otra, ESP, HechosReales, MuyPocos
Comedia, >12, Noviembre, 103,  AurumProducciones, ESP, Original, Medio
Thriller, >12, Enero, 113, CastelaoPictures, EEUU, Original, Pocos
Sci-fi, >7, Enero, 106, Paramount, EEUU, Original, Pocos
Thriller, >18, Enero, 105, Otra, EEUU, Original, MuyPocos
 Drama, >12, Enero, 107, SonyPicturesReleasing, EEUU, Original, Pocos
 Comedia, >16, Enero, 120, HispanoFoxfilm, EEUU, Original, Bastantes
 Comedia, >12, Enero, 108, WarnerBrosEntertainment, EEUU, Original, Pocos
 Drama, >16, Enero, 111, Paramount, EEUU, Original, Pocos
